Year,Order,Player,Nationality,Club,Points
1956,1,Stanley Matthews,Blackpool,England,47
1956,2,Alfredo Di Stéfano,Real Madrid,Spain,44
1956,3,Raymond Kopa,Reims /  Real Madrid,France,33
1956,4,Ferenc Puskás,Budapest Honvéd,Hungary,32
1956,5,Lev Yashin,Dynamo Moscow,Soviet Union,19
1956,6,József Bozsik,Budapest Honvéd,Hungary,15
1956,7,Ernst Ocwirk,Austria Wien / Sampdoria,Austria,9
1956,8,Sándor Kocsis,Budapest Honvéd,Hungary,6
1956,9,Thadée Cisowski,RC Paris,France,4
1956,9,Ivan Kolev,CDNA Sofia,Bulgaria,4
1956,9,Billy Wright,Wolverhampton Wanderers,England,4
1956,12,Júlio Botelho,Fiorentina,Italy,3
1956,13,Stefan Bozhkov,CDNA Sofia,Bulgaria,2
1956,13,Duncan Edwards,Manchester United,England,2
1956,13,Gerhard Hanappi,Rapid Wien,Austria,2
1956,13,Robert Jonquet,Reims,France,2
1956,13,Miguel Montuori,Fiorentina,Italy,2
1956,13,Pepillo,Sevilla,Spain,2
1956,13,Juan Alberto Schiaffino,Milan,Italy,2
1956,13,Eduard Streltsov,Torpedo Moscow,Soviet Union,2
1956,21,Marcelino Campanal,Sevilla,Spain,1
1956,21,Břetislav Dolejší,Dukla Prague,Czechoslovakia,1
1956,21,Roger Piantoni,FC Nancy,France,1
1956,21,Kees Rijvers,Saint-Étienne,Netherlands,1
1957,1,Alfredo Di Stéfano,Real Madrid,Spain,72
1957,2,Billy Wright,Wolverhampton Wanderers,England,19
1957,3,Duncan Edwards,Manchester United,England,16
1957,3,Raymond Kopa,Real Madrid,France,16
1957,5,László Kubala,Barcelona,Hungary,15
1957,6,John Charles,Leeds United / Juventus,Wales,14
1957,7,Eduard Streltsov,Torpedo Moscow,Soviet Union,12
1957,8,Tommy Taylor,Manchester United,England,10
1957,9,József Bozsik,Budapest Honvéd,Hungary,9
1957,9,Igor Netto,Spartak Moscow,Soviet Union,9
1957,11,Lev Yashin,Dynamo Moscow,Soviet Union,8
1957,12,Francisco Gento,Real Madrid,Spain,7
1957,12,Gyula Grosics,Budapest Honvéd / Tatabánya,Hungary,7
1957,14,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4
1957,14,Miloš Milutinović,Partizan,Yugoslavia,4
1957,14,Juan Alberto Schiaffino,Milan,Italy,4
1957,17,Gerhard Hanappi,Rapid Wien,Austria,3
1957,17,Johnny Haynes,Fulham,England,3
1957,17,Stanley Matthews,Blackpool,England,3
1957,20,Sándor Kocsis,Young Fellows Zürich,Hungary,2
1957,20,Horst Szymaniak,Wuppertaler SV,West Germany,2
1957,22,Kurt Hamrin,Padova,Sweden,1
1957,22,Ladislav Novák,Dukla Prague,Czechoslovakia,1
1958,1,Raymond Kopa,Real Madrid,France,71
1958,2,Helmut Rahn,Rot-Weiss Essen,West Germany,40
1958,3,Just Fontaine,Reims,France,23
1958,4,John Charles,Juventus,Wales,15
1958,4,Kurt Hamrin,Padova / Fiorentina,Sweden,15
1958,6,Billy Wright,Wolverhampton Wanderers,England,9
1958,7,Johnny Haynes,Fulham,England,7
1958,8,Harry Gregg,Manchester United,Northern Ireland,6
1958,8,Nils Liedholm,Milan,Sweden,6
1958,8,Horst Szymaniak,Wuppertaler SV,West Germany,6
1958,11,Colin McDonald,Burnley,England,5
1958,12,Francisco Gento,Real Madrid,Spain,4
1958,12,Gunnar Gren,Örgryte IS,Sweden,4
1958,14,Vujadin Boškov,Vojvodina,Yugoslavia,3
1958,14,Bengt Gustavsson,Atalanta,Sweden,3
1958,14,Valentin Ivanov,Torpedo Moskva,Soviet Union,3
1958,14,Luis Suárez,Barcelona,Spain,3
1958,14,Lev Yashin,Dynamo Moscow,Soviet Union,3
1958,19,Orvar Bergmark,Örebro SK,Sweden,2
1958,19,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,2
1958,19,Ivan Kolev,CDNA Sofia,Bulgaria,2
1958,19,Bruno Nicolè,Juventus,Italy,2
1958,19,Ladislav Novák,Dukla Prague,Czechoslovakia,2
1958,19,Lennart Skoglund,Internazionale,Sweden,2
1958,25,Giampiero Boniperti,Juventus,Italy,1
1958,25,Gerhard Hanappi,Rapid Wien,Austria,1
1959,1,Alfredo Di Stéfano,Real Madrid,Spain,80
1959,2,Raymond Kopa,Real Madrid / Reims,France,42
1959,3,John Charles,Juventus,Wales,24
1959,4,Luis Suárez,Barcelona,Spain,22
1959,5,Agne Simonsson,Örgryte IS,Sweden,20
1959,6,Lajos Tichy,Budapest Honvéd,Hungary,18
1959,7,Ferenc Puskás,Real Madrid,Hungary,16
1959,8,Francisco Gento,Real Madrid,Spain,12
1959,9,Helmut Rahn,Rot-Weiss Essen /  1. FC Köln,West Germany,11
1959,10,Horst Szymaniak,Wuppertaler SV / Karlsruher SC,West Germany,8
1959,11,Lev Yashin,Dynamo Moscow,Soviet Union,7
1959,12,Yuriy Voynov,Dynamo Kyiv,Soviet Union,5
1959,13,Dezső Bundzsák,Vasas,Hungary,4
1959,13,Gyula Grosics,Tatabánya,Hungary,4
1959,13,Ivan Kolev,CDNA Sofia,Bulgaria,4
1959,13,Nils Liedholm,Milan,Sweden,4
1959,17,Titus Buberník,ČH Bratislava,Czechoslovakia,3
1959,17,Just Fontaine,Reims,France,3
1959,17,Georgi Naydenov,CDNA Sofia,Bulgaria,3
1959,20,Flórián Albert,Ferencváros,Hungary,2
1959,20,Uwe Seeler,Hamburger SV,West Germany,2
1959,20,Joan Segarra,Barcelona,Spain,2
1959,23,János Göröcs,Újpest,Hungary,1
1959,23,Ken Jones,Scunthorpe United,Wales,1
1959,23,Roger Marche,RC Paris,France,1
1959,23,Antoni Ramallets,Barcelona,Spain,1
1960,1,Luis Suárez,FC Barcelona,Spain,54
1960,2,Ferenc Puskás,Real Madrid,Hungary,37
1960,3,Uwe Seeler,Hamburger SV,West Germany,33
1960,4,Alfredo Di Stéfano,Real Madrid,Spain,32
1960,5,Lev Yashin,Dynamo Moscow,Soviet Union,28
1960,6,Raymond Kopa,Reims,France,14
1960,7,John Charles,Juventus,Wales,11
1960,7,Bobby Charlton,Manchester United,England,11
1960,9,Omar Sívori,Juventus,Italy,9
1960,9,Horst Szymaniak,Karlsruher SC,West Germany,9
1960,11,Francisco Gento,Real Madrid,Spain,8
1960,12,Borivoje Kostić,Red Star Belgrade,Yugoslavia,7
1960,13,Joseph Ujlaki,RC Paris,France,5
1960,14,Kurt Hamrin,Fiorentina,Sweden,4
1960,14,Bobby Smith,Tottenham Hotspur,England,4
